title,places
"
      The Hunger Games
","
    District 12, Panem

    
    Capitol, Panem

    
    Panem

(United States)


    
"
"
      Harry Potter and the Order of the Phoenix
","
    Hogwarts School of Witchcraft and Wizardry

(United Kingdom)


    
    London, England

    
"
"
      To Kill a Mockingbird
","
    Maycomb, Alabama,
1933

(United States)


    
"
"
      Pride and Prejudice
","

Other Editions (10183)

"
"
      Twilight
","
    Forks, Washington

(United States)


    
    Phoenix, Arizona

(United States)


    
    Washington (state)

(United States)


    
"
"
      The Book Thief
",Setting
"
      Animal Farm
",Setting
"
      The Chronicles of Narnia
","
    London, England

    
"
"
      J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
",
"
      The Fault in Our Stars
","Indianapolis, Indiana

(United States)


    
    Amsterdam

(Netherlands)"
"
      Gone with the Wind
",Setting
"
      The Hitchhiker's Guide to the Galaxy
","

Other Editions (340)

"
"
      The Giving Tree
",
"
      Wuthering Heights
",Setting
"
      The Da Vinci Code
","
    Paris

(France)


    
    London, England

    
    France

    
    …more
          England

        
          United Kingdom

        
…less"
"
      The Picture of Dorian Gray
","England

    
    England,
1890"
"
      Memoirs of a Geisha
",Setting
"
      Alice's Adventures in Wonderland / Through the Looking-Glass
","
    United Kingdom

    
    England

    
    Wonderland

    
"
"
      Jane Eyre
",
"
      Les Misérables
","Paris

(France)"
"
      Fahrenheit 451
",
"
      Divergent
","
    Chicago, Illinois

(United States)


    
"
"
      Lord of the Flies
",
"
      Romeo and Juliet
","Characters
                
                  Tybalt, Friar Lawrence, Paris, Escalus, Montague...more, Lady Montague, Abram, Balthasar, Capulet, Lady Capulet, Sampson, Friar John, Mercutio, Benvolio, Romeo, Juliet...less"
"
      The Alchemist
",Setting
"
      The Perks of Being a Wallflower
",Setting
"
      The Great Gatsby
","New York City, New York

(United States)


    
    New York State

(United States)


    
    Long Island, New York,
1925

(United States)"
"
      Crime and Punishment
",Setting
"
      City of Bones
",Setting
"
      Ender's Game
",
"
      The Help
",Setting
"
      Harry Potter and the Sorcerer's Stone
",Setting
"
      The Little Prince
",
