author,avg_ratings,original_publish_year,title,awards,Root
Suzanne Collins,"
  4.33
",2008,"
      The Hunger Games
","Locus Award Nominee for Best Young Adult Book (2009), Georgia Peach Book Award (2009), Buxtehuder Bulle (2009), Golden Duck Award for Young Adult (Hal Clement Award) (2009), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010)
                      
                          Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010), Red House Children's Book Award for Older Readers & Overall (2010), South Carolina Book Award for Junior and Young Adult Book (2011), Charlotte Award (2010), Colorado Blue Spruce Young Adult Book Award (2010), Teen Buckeye Book Award (2009), Pennsylvania Young Readers' Choice Award for Young Adults (2010), Rhode Island Teen Book Award (2010), Dorothy Canfield Fisher Children's Book Award (2010), Evergreen Teen Book Award (2011), Soaring Eagle Book Award (2009), Milwaukee County Teen Book Award Nominee (2010), Sakura Medal for Middle School Book (2010), Michigan Library Association Thumbs Up! Award (2009), Florida Teens Read (2009), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010), Iowa High School Book Award (2011), New Mexico Land of Enchantment Award for Young Adult (2011), Eliot Rosewater Indiana High School Book Award (2010), The Inky Awards for Silver Inky (2009), California Young Readers Medal for Young Adult (2011), Lincoln Award (2011), Kinderboekwinkelprijs (2010), Missouri Truman Readers Award (2011), CYBILS Award for Young Adult Fantasy & Science Fiction (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2010), The Inky Awards Shortlist for Silver Inky (2009), Prix Et-lisez-moi (2011), Missouri Gateway Readers Award (2011), Oklahoma Sequoyah Award for High School and Intermediate (2011), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009), Rebecca Caudill Young Readers' Book Award (2011), LovelyBooks Leserpreis for Fantasy (2009), LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009), Premi Protagonista Jove for Categoria 13-14 anys (2010)",undefined
J.K. Rowling,"
  4.50
",2003,"
      Harry Potter and the Order of the Phoenix
","Bram Stoker Award for Works for Young Readers (2003), Anthony Award for Young Adult (2004), Mythopoeic Fantasy Award for Children's Literature (2008), Audie Award for Audiobook of the Year (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2004)
                      
                          Colorado Blue Spruce Young Adult Book Award (2006), Golden Archer Award for Middle/Junior High (2005), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2004), Carnegie Medal Nominee (2003)",undefined
Harper Lee,"
  4.28
",1960,"
      To Kill a Mockingbird
",,undefined
Jane Austen,"
  4.27
",1813,"
      Pride and Prejudice
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Stephenie Meyer,"
  3.60
",2005,"
      Twilight
","Georgia Peach Book Award (2007), Buxtehuder Bulle (2006), Kentucky Bluegrass Award for 9-12 (2007), Prijs van de Kinder- en Jeugdjury Vlaanderen (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2009)
                      
                          West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2008), Garden State Book Award for Fiction (Grades 9-12) (2008), South Carolina Book Award for Young Adult Book Award (2008), Grand Canyon Reader Award for Teen Book (2008), Maryland Black-Eyed Susan Book Award for High School (2008), Golden Sower Award for Young Adult (2009), Nevada Young Readers' Award for Young Adult Category  (2007), The Flume: New Hampshire Teen Reader's Choice Award (2007), Pennsylvania Young Readers' Choice Award for Young Adult (2009), Rhode Island Teen Book Award (2007), Evergreen Teen Book Award (2008), Michigan Library Association Thumbs Up! Award Nominee (2006), Teen Read Award Nominee for Best All-Time-Fave (2010), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2007), Iowa High School Book Award (2008), Eliot Rosewater Indiana High School Book Award (2008), Lincoln Award (2008), Literaturpreis der Jury der jungen Leser for Cover (2007), Prix Et-lisez-moi (2008), Missouri Gateway Readers Award (2008)",undefined
Markus Zusak,"
  4.37
",2005,"
      The Book Thief
",,undefined
George Orwell,"
  3.95
",1945,"
      Animal Farm
",,undefined
C.S. Lewis,"
  4.26
",1956,"
      The Chronicles of Narnia
",,undefined
J.R.R. Tolkien,"
  4.60
",1955,"
      J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings
",,undefined
John Green,"
  4.20
",2012,"
      The Fault in Our Stars
",,undefined
Margaret Mitchell,"
  4.30
",1936,"
      Gone with the Wind
",,undefined
Douglas Adams,"
  4.22
",1979,"
      The Hitchhiker's Guide to the Galaxy
",,undefined
Shel Silverstein,"
  4.37
",1964,"
      The Giving Tree
",,undefined
Emily Brontë,"
  3.86
",1847,"
      Wuthering Heights
",,undefined
Dan Brown,"
  3.86
",2003,"
      The Da Vinci Code
","British Book Award for Book of the Year (2005), Book Sense Book of the Year Award for Adult Fiction (2004), Humo's Gouden Bladwijzer (2004), Zilveren Vingerafdruk (2004), The Flume: New Hampshire Teen Reader's Choice Award (2006)
                      
                          Teen Buckeye Book Award (2005), Iowa High School Book Award (2006), Puddly Award for Fiction (2007), Missouri Gateway Readers Award for Adult (2006)",undefined
Oscar Wilde,"
  4.09
",1890,"
      The Picture of Dorian Gray
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Arthur Golden,"
  4.12
",1997,"
      Memoirs of a Geisha
",,undefined
Lewis Carroll,"
  4.06
",1871,"
      Alice's Adventures in Wonderland / Through the Looking-Glass
",,undefined
Charlotte Brontë,"
  4.13
",1847,"
      Jane Eyre
",,undefined
Victor Hugo,"
  4.18
",1862,"
      Les Misérables
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Ray Bradbury,"
  3.99
",1953,"
      Fahrenheit 451
",,undefined
Veronica Roth,"
  4.19
",2011,"
      Divergent
","Georgia Peach Book Award (2012), South Carolina Book Award for Young Adult (2014), Rhode Island Teen Book Award (2013), Evergreen Teen Book Award (2014), Soaring Eagle Book Award (2012)
                      
                          Milwaukee County Teen Book Award Nominee (2012), Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012), Sakura Medal, New Mexico Land of Enchantment Award for Young Adult (2014), Eliot Rosewater Indiana High School Book Award (2014), California Young Readers Medal for Young Adult (2014), Lincoln Award Nominee (2014), DABWAHA Romance Tournament for Best Young Adult Romance (2012), Goodreads Choice Award for Favorite Book and for Young Adult Fantasy & Science Fiction and Nominee for Goodreads Author (2011), Green Mountain Book Award (2013), The Magnolia Award for 6-8 (2014), Louisiana Teen Readers' Choice (2014), Missouri Gateway Readers Award (2014), Oklahoma Sequoyah Award for High Schol (2014), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2011)",undefined
William Golding,"
  3.69
",1954,"
      Lord of the Flies
",,undefined
William Shakespeare,"
  3.75
",1595,"
      Romeo and Juliet
",,undefined
Paulo Coelho,"
  3.88
",1988,"
      The Alchemist
",,undefined
Stephen Chbosky,"
  4.20
",1999,"
      The Perks of Being a Wallflower
",,undefined
F. Scott Fitzgerald,"
  3.92
",1925,"
      The Great Gatsby
",,undefined
